,Working_Year,Designation,Experience,Employment_Status,Salary_In_Rupees,Salary_In_Usd,Employee_Location,Company_Location,Company_Size,Remote_Working_Ratio
37,2020,Data Science Consultant,MI,FT,"8,195,659.00","98,347.91",US,US,L,100
38,2020,Machine Learning Engineer,EN,FT,"19,892,375.00","238,708.50",US,US,L,50
39,2020,Data Analyst,EN,FT,"795,695.00","9,548.34",NG,NG,S,100
40,2020,Machine Learning Engineer,EN,FT,"10,980,591.00","131,767.09",US,US,S,100
41,2020,Data Scientist,MI,FT,"3,641,100.00","43,693.20",PH,US,S,100
42,2020,Data Engineering Manager,EX,FT,"6,352,272.00","76,227.26",ES,ES,L,50
43,2020,Machine Learning Infrastructure Engineer,MI,FT,"3,992,798.00","47,913.58",PT,PT,M,0
44,2020,Data Engineer,MI,FT,"8,434,367.00","101,212.40",US,US,L,100
45,2020,Data Engineer,MI,FT,"8,981,169.00","107,774.03",GB,GB,L,50
46,2020,ML Engineer,EN,PT,"1,270,407.00","15,244.88",DE,DE,S,100
47,2020,Data Scientist,MI,FT,"6,123,510.00","73,482.12",GB,GB,S,100
48,2020,Data Engineer,SE,FT,"14,959,066.00","179,508.79",US,US,L,100
49,2020,Data Scientist,MI,FT,"8,354,798.00","100,257.58",US,US,L,100
50,2020,Data Engineer,MI,FT,"5,580,925.00","66,971.10",FR,FR,L,50
51,2020,Data Analyst,EN,FT,"483,146.00","5,797.75",IN,IN,S,0
52,2020,Data Analyst,EN,FT,"7,240,825.00","86,889.90",US,US,L,100
53,2020,AI Scientist,EN,FT,"3,651,922.00","43,823.06",DK,DK,S,50
54,2020,Data Engineer,EN,FT,"4,355,794.00","52,269.53",PK,DE,L,100
55,2020,Computer Vision Engineer,SE,FL,"4,774,170.00","57,290.04",RU,US,S,100
56,2020,Principal Data Scientist,SE,FT,"11,797,054.00","141,564.65",DE,DE,M,100
57,2020,Data Scientist,MI,FT,"3,085,387.00","37,024.64",ES,ES,M,100
58,2020,Data Scientist,MI,FT,"9,389,201.00","112,670.41",US,US,M,100
59,2020,Data Scientist,SE,FT,"9,548,340.00","114,580.08",US,US,L,50
60,2020,Data Scientist,MI,FT,"11,008,440.00","132,101.28",US,US,M,100
61,2020,Data Engineer,MI,FT,"8,752,645.00","105,031.74",US,US,L,100
62,2020,Data Engineer,MI,FT,"10,407,691.00","124,892.29",ES,US,M,100
63,2020,Data Scientist,EN,PT,"1,724,191.00","20,690.29",IT,IT,S,50
64,2020,Data Scientist,SE,FT,"32,782,634.00","393,391.61",US,US,L,100
65,2020,Machine Learning Engineer,SE,FT,"3,629,801.00","43,557.61",HR,HR,S,100
66,2020,Data Scientist,EN,FT,"4,991,076.00","59,892.91",DE,DE,S,50
67,2020,Data Scientist,EN,FT,"3,920,230.00","47,042.76",DE,DE,S,0
